datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2022-06-01T00:00:44.278396+00:00,0.16,0.32,0.07,0.19
2022-06-01T00:01:44.747384+00:00,0.17,0.22,0.06,0.18
2022-06-01T00:02:43.654924+00:00,0.18,0.24,0.07,0.19
2022-06-01T00:03:45.063652+00:00,0.19,0.28,0.05,0.18
2022-06-01T00:04:44.224810+00:00,0.18,0.24,0.05,0.19
2022-06-01T00:05:44.799055+00:00,0.19,0.26,0.04,0.18
2022-06-01T00:06:43.654552+00:00,0.16,0.3,0.04,0.17
2022-06-01T00:07:44.309448+00:00,0.17,0.21,0.06,0.19
2022-06-01T00:08:44.913833+00:00,0.17,0.28,0.03,0.18
2022-06-01T00:09:43.828447+00:00,0.2,0.25,0.05,0.18
2022-06-01T00:10:44.406718+00:00,0.17,0.28,0.04,0.19
2022-06-01T00:11:45.017513+00:00,0.17,0.24,0.05,0.18
2022-06-01T00:12:44.021197+00:00,0.16,0.24,0.05,0.18
2022-06-01T00:13:44.515308+00:00,0.17,0.24,0.03,0.18
2022-06-01T00:14:45.037732+00:00,0.17,0.25,0.05,0.18
2022-06-01T00:15:44.102593+00:00,0.17,0.25,0.01,0.19
2022-06-01T00:16:44.612269+00:00,0.17,0.22,0.03,0.19
2022-06-01T00:17:45.070720+00:00,0.17,0.25,0.05,0.18
2022-06-01T00:18:44.025967+00:00,0.16,0.25,0.06,0.19
2022-06-01T00:19:44.654724+00:00,0.16,0.27,0.08,0.18
2022-06-01T00:20:43.616239+00:00,0.16,0.23,0.04,0.18
2022-06-01T00:21:44.085590+00:00,0.17,0.26,0.05,0.18
2022-06-01T00:22:45.063215+00:00,0.18,0.24,0.04,0.19
2022-06-01T00:23:43.968335+00:00,0.18,0.24,0.03,0.18
2022-06-01T00:24:44.551384+00:00,0.16,0.21,0.05,0.18
2022-06-01T00:25:43.863077+00:00,0.17,0.24,0.03,0.19
2022-06-01T00:26:44.399756+00:00,0.19,0.23,0.04,0.18
2022-06-01T00:27:44.950767+00:00,0.17,0.28,0.02,0.19
2022-06-01T00:28:43.882879+00:00,0.18,0.24,0.05,0.18
2022-06-01T00:29:44.438941+00:00,0.18,0.3,0.04,0.18
2022-06-01T00:30:44.986889+00:00,0.17,0.25,0.05,0.18
2022-06-01T00:31:43.837810+00:00,0.17,0.23,0.06,0.19
2022-06-01T00:32:44.450258+00:00,0.16,0.23,0.05,0.19
